lemma	homonym	doc
Riski	PROPN	overlaps more common *Riski* (risk)
Risti	PROPN	overlaps more common *Risti* (cross)
Ristikko	PROPN	overlaps more common *Ristikko* (hatch)
Ristintie	PROPN	overlaps more common *Ristintie* (FIXME)
Ristiselkä	PROPN	overlaps more common *Ristiselkä* (FIXME)
Ristiä	PROPN	overlaps more common *Ristiä* (cross)
Risu	PROPN	overlaps more common *Risu* (twig)
Risukasa	PROPN	overlaps more common *Risukasa* (FIXME)
Risukko	PROPN	overlaps more common *Risukko* (FIXME)
Ritari	PROPN	overlaps more common *Ritari* (knigth)
Riuku	PROPN	overlaps more common *Riuku* (FIXME)
Riuska	PROPN	overlaps more common *Riuska* (strong)
Riutta	PROPN	overlaps more common *Riutta* (FIXME)
Rivi	PROPN	overlaps more common *Rivi* (row)
Rivo	PROPN	overlaps more common *Rivo* (rowdy)
RNA	PROPN	Ribonucleic Acid
Rohkea	PROPN	overlaps more common *Rohkea* (brave)
Rohmu	PROPN	overlaps more common *Rohmu* (FIXME)
Roihu	PROPN	overlaps more common *Roihu* (flame)
Roima	PROPN	overlaps more common *Roima* (FIXME)
Roina	PROPN	overlaps more common *Roina* (junk)
Roju	PROPN	overlaps more common *Roju* (junk)
Rokka	PROPN	overlaps more common *Rokka* (FIXME)
Rokkapata	PROPN	overlaps more common *Rokkapata* (FIXME)
Rokki	PROPN	overlaps more common *Rokki* (rock)
Rokko	PROPN	overlaps more common *Rokko* (measles)
Rokuli	PROPN	overlaps more common *Rokuli* (skipday)
Rommi	PROPN	overlaps more common *Rommi* (rom)
Romppu	PROPN	overlaps more common *Romppu* (cd-rom)
Rompsu	PROPN	overlaps more common *Rompsu* (FIXME)
Romu	PROPN	overlaps more common *Romu* (junk)
Ronkeli	PROPN	overlaps more common *Ronkeli* (FIXME)
Rontti	PROPN	overlaps more common *Rontti* (FIXME)
Ropo	PROPN	overlaps more common *Ropo* (coin)
Roponen	PROPN	overlaps more common *Roponen* (FIXME)
Rotanhäntä	PROPN	overlaps more common *Rotanhäntä* (rattail)
Rotko	PROPN	overlaps more common *Rotko* (canyon)
Rouhe	PROPN	overlaps more common *Rouhe* (FIXME)
Rovasti	PROPN	overlaps more common *Rovasti* (priest)
Rove	PROPN	overlaps more common *Rove* (FIXME)
Rovio	PROPN	overlaps more common *Rovio* (bonfire)
Ruhtinas	PROPN	overlaps more common *Ruhtinas* (royalty)
Ruijalainen	PROPN	overlaps more common *Ruijalainen* (FIXME)
Ruis	PROPN	overlaps more common *Ruis* (rye)
Ruisku	PROPN	overlaps more common *Ruisku* (syringe)
Ruispelto	PROPN	overlaps more common *Ruispelto* (ryefield)
Rukkanen	PROPN	overlaps more common *Rukkanen* (glove)
Ruma	PROPN	overlaps more common *Ruma* (ugly)
Rumpali	PROPN	overlaps more common *Rumpali* (drummer)
Rumpu	PROPN	overlaps more common *Rumpu* (drum)
Runko	PROPN	overlaps more common *Runko* (body)
Runo	PROPN	overlaps more common *Runo* (poem)
Ruohikko	PROPN	overlaps more common *Ruohikko* (grsdd)
Ruohisto	PROPN	overlaps more common *Ruohisto* (FIXME)
Ruoho	PROPN	overlaps more common *Ruoho* (grass)
Ruohokorpi	PROPN	overlaps more common *Ruohokorpi* (FIXME)
Ruohomaa	PROPN	overlaps more common *Ruohomaa* (grassland)
Ruohosto	PROPN	overlaps more common *Ruohosto* (FIXME)
Ruokala	PROPN	overlaps more common *Ruokala* (cafeteria)
Ruoko	PROPN	overlaps more common *Ruoko* (straw)
Ruoska	PROPN	overlaps more common *Ruoska* (whip)
Ruoste	PROPN	overlaps more common *Ruoste* (rust)
Ruotsalainen	PROPN	overlaps more common *Ruotsalainen* (FIXME)
Rupinen	PROPN	overlaps more common *Rupinen* (FIXME)
Rupla	PROPN	overlaps more common *Rupla* (ruble)
Rusakko	PROPN	overlaps more common *Rusakko* (hare)
Ruska	PROPN	overlaps more common *Ruska* (brown)
Ruskea	PROPN	overlaps more common *Ruskea* (brown)
Rusko	PROPN	overlaps more common *Rusko* (brown)
Rusto	PROPN	overlaps more common *Rusto* (FIXME)
Ruuhi	PROPN	overlaps more common *Ruuhi* (boat)
Ruukki	PROPN	overlaps more common *Ruukki* (FIXME)
Ruuna	PROPN	overlaps more common *Ruuna* (horse)
Ruusu	PROPN	overlaps more common *Ruusu* (rose)
Ruutana	PROPN	overlaps more common *Ruutana* (fish)
Ruuti	PROPN	overlaps more common *Ruuti* (blackpowder)
Ruutikuiva	PROPN	overlaps more common *Ruutikuiva* (bonedry)
Ruutu	PROPN	overlaps more common *Ruutu* (square)
Ryhmä	PROPN	overlaps more common *Ryhmä* (groupwork)
Ryhmätyö	PROPN	overlaps more common *Ryhmätyö* (groupwork)
Ryhti	PROPN	overlaps more common *Ryhti* (FIXME)
Ryssä	PROPN	overlaps more common *Ryssä* (russian)
Ryyppy	PROPN	overlaps more common *Ryyppy* (drink)
Ryysy	PROPN	overlaps more common *Ryysy* (FIXME)
Ryysyläinen	PROPN	overlaps more common *Ryysyläinen* (FIXME)
Ryönä	PROPN	overlaps more common *Ryönä* (junk)
Ryöppy	PROPN	overlaps more common *Ryöppy* (FIXME)
Ryöväri	PROPN	overlaps more common *Ryöväri* (robber)
Rähmä	PROPN	overlaps more common *Rähmä* (FIXME)
Räme	PROPN	overlaps more common *Räme* (swamp)
Rämeikkö	PROPN	overlaps more common *Rämeikkö* (FIXME)
Rämesuo	PROPN	overlaps more common *Rämesuo* (FIXME)
Rämä	PROPN	overlaps more common *Rämä* (broken)
Rämäkkä	PROPN	overlaps more common *Rämäkkä* (FIXME)
Ränni	PROPN	overlaps more common *Ränni* (gutter)
Räppänä	PROPN	overlaps more common *Räppänä* (FIXME)
Räsy	PROPN	overlaps more common *Räsy* (broken)
Rätti	PROPN	overlaps more common *Rätti* (cloth)
Räväkkä	PROPN	overlaps more common *Räväkkä* (FIXME)
Rääsy	PROPN	overlaps more common *Rääsy* (cloth)
Räätäli	PROPN	overlaps more common *Räätäli* (tailor)
Röyhy	PROPN	overlaps more common *Röyhy* (FIXME)
Röykkiö	PROPN	overlaps more common *Röykkiö* (FIXME)
Saaga	PROPN	overlaps more common *Saaga* (saga)
Saaja	PROPN	overlaps more common *Saaja* (recipient)
Saakeli	PROPN	overlaps more common *Saakeli* (darn)
Saali	PROPN	overlaps more common *Saali* (shale)
Saanti	PROPN	overlaps more common *Saanti* (input)
Saareke	PROPN	overlaps more common *Saareke* (isle)
Saarelainen	PROPN	overlaps more common *Saarelainen* (FIXME)
Saarelma	PROPN	overlaps more common *Saarelma* (FIXME)
Saarento	PROPN	overlaps more common *Saarento* (FIXME)
Saari	PROPN	overlaps more common *Saari* (island)
Saarinen	PROPN	overlaps more common *Saarinen* (FIXME)
Saaristo	PROPN	overlaps more common *Saaristo* (FIXME)
Saarnastuoli	PROPN	overlaps more common *Saarnastuoli* (FIXME)
Saarto	PROPN	overlaps more common *Saarto* (ambush)
Sade	PROPN	overlaps more common *Sade* (rain)
Saha	PROPN	overlaps more common *Saha* (saw)
Saikku	PROPN	overlaps more common *Saikku* (sick leave)
Saita	PROPN	overlaps more common *Saita* (pennypincher)
SAK	PROPN	Suomen Ammattiliittojen Keskusjärjestö
Sakara	PROPN	overlaps more common *Sakara* (FIXME)
Sake	PROPN	overlaps more common *Sake* (sake)
Sakeus	PROPN	overlaps more common *Sakeus* (FIXME)
Sakki	PROPN	overlaps more common *Sakki* (chess, group)
Sakko	PROPN	overlaps  very common *sakko* (a fine).
Saksi	PROPN	overlaps more common *Saksi* (scissor)
Saku	PROPN	overlaps more common *Saku* (FIXME)
Salainen	PROPN	overlaps more common *Salainen* (secret)
Salakari	PROPN	overlaps more common *Salakari* (FIXME)
Salakavala	PROPN	overlaps more common *Salakavala* (FIXME)
Salama	PROPN	overlaps more common *Salama* (lighting)
Salaoja	PROPN	overlaps more common *Salaoja* (ditch)
Sali	PROPN	overlaps more common *Sali* (hall)
Salko	PROPN	overlaps more common *Salko* (FIXME)
Salmeke	PROPN	overlaps more common *Salmeke* (FIXME)
Salmensuu	PROPN	overlaps more common *Salmensuu* (FIXME)
Salmi	PROPN	overlaps more common *Salmi* (FIXME)
Salmisto	PROPN	overlaps more common *Salmisto* (FIXME)
Salo	PROPN	overlaps more common *Salo* (FIXME)
Salokylä	PROPN	overlaps more common *Salokylä* (FIXME)
Salolainen	PROPN	overlaps more common *Salolainen* (FIXME)
Salomaa	PROPN	overlaps more common *Salomaa* (FIXME)
Salonki	PROPN	overlaps more common *Salonki* (salon)
Salvia	PROPN	overlaps more common *Salvia* (sage)
samalla	PROPN	usually seen as adverb (meanwhile), but can be analysed as possessive elative of the adjective *sama* (same)
Sametti	PROPN	overlaps more common *Sametti* (FIXME)
Sammakko	PROPN	overlaps more common *Sammakko* (frog)
Sammal	PROPN	overlaps more common *Sammal* (FIXME)
Sammalikko	PROPN	overlaps more common *Sammalikko* (FIXME)
Sammalinen	PROPN	overlaps more common *Sammalinen* (FIXME)
Sammalisto	PROPN	overlaps more common *Sammalisto* (FIXME)
Sammio	PROPN	overlaps more common *Sammio* (FIXME)
Sana	PROPN	overlaps more common *Sana* (word)
Sanasto	PROPN	overlaps more common *Sanasto* (dictionary)
Sane	PROPN	overlaps more common *Sane* (wordform)
Sanka	PROPN	overlaps more common *Sanka* (FIXME)
Sankari	PROPN	overlaps more common *Sankari* (hero)
Sanoma	PROPN	overlaps more common *Sanoma* (news)
Santa	PROPN	overlaps more common *Santa* (sand)
Saparo	PROPN	overlaps more common *Saparo* (pig tail)
Sapatti	PROPN	overlaps more common *Sapatti* (sabbat)
Sapeli	PROPN	overlaps more common *Sapeli* (saber)
Sappi	PROPN	overlaps more common *Sappi* (sap)
Sarake	PROPN	overlaps more common *Sarake* (column)
Sarka	PROPN	overlaps more common *Sarka* (FIXME)
Sarkajako	PROPN	overlaps more common *Sarkajako* (FIXME)
Sarvi	PROPN	overlaps more common *Sarvi* (horn)
Satakerta	PROPN	overlaps more common *Satakerta* (hundredfold)
Satakieli	PROPN	overlaps more common *Satakieli* (bird)
Satama	PROPN	overlaps more common *Satama* (docks)
Satiainen	PROPN	overlaps more common *Satiainen* (crabs)
Sato	PROPN	overlaps more common *Sato* (yield)
Sattuma	PROPN	overlaps more common *Sattuma* (coincidence)
Satula	PROPN	overlaps more common *Satula* (saddle)
Satumaa	PROPN	overlaps more common *Satumaa* (fairyland)
Saukko	PROPN	overlaps more common *Saukko* (otter)
Sauna	PROPN	overlaps more common *Sauna* (sauna)
Saunaranta	PROPN	overlaps more common *Saunaranta* (sauna beach)
Saunoja	PROPN	overlaps more common *Saunoja* (FIXME)
Savi	PROPN	overlaps more common *Savi* (clay)
Savikivi	PROPN	overlaps more common *Savikivi* (claystone)
Savikko	PROPN	overlaps more common *Savikko* (clays)
Savimaa	PROPN	overlaps more common *Savimaa* (clayland)
Savinen	PROPN	overlaps more common *Savinen* (clay)
Savipohja	PROPN	overlaps more common *Savipohja* (clay base)
Savolainen	PROPN	overlaps more common *Savolainen* (savonian)
SDP	PROPN	Sosiali-Demokraattinen Puolue
Seikka	PROPN	overlaps more common *Seikka* (thing)
Seili	PROPN	overlaps more common *Seili* (sail)
Seiska	PROPN	overlaps more common *Seiska* (seven)
sekä	PROPN	and too, coordinating conj, “kissat sekä koirat“
sekä	PROPN	and too, coordinating conj, “kissat sekä koirat”
Selin	PROPN	overlaps more common *Selin* (backwards)
Selkonen	PROPN	overlaps more common *Selkonen* (FIXME)
Selkä	PROPN	overlaps more common *Selkä* (back)
Selänpää	PROPN	overlaps more common *Selänpää* (backhead)
Semi	PROPN	overlaps more common *Semi* (semi)
Sentraali	PROPN	overlaps more common *Sentraali* (central)
Seppä	PROPN	overlaps more common *Seppä* (blacksmith)
Serkku	PROPN	overlaps more common *Serkku* (cousin)
Servo	PROPN	overlaps more common *Servo* (servo)
Seula	PROPN	overlaps more common *Seula* (sieve)
Seura	PROPN	overlaps more common *Seura* (group)
Seuranen	PROPN	overlaps forms of very common *seura* (company).
Seutu	PROPN	overlaps more common *Seutu* (area)
SGML	PROPN	Standardised General Markup Language
Siansaparo	PROPN	overlaps more common *Siansaparo* (pig tail)
Siemen	PROPN	overlaps more common *Siemen* (seed)
Sieppo	PROPN	overlaps more common *Sieppo* (bird)
Siika	PROPN	overlaps more common *Siika* (fish)
Siili	PROPN	overlaps more common *Siili* (hedgehog)
Siipi	PROPN	overlaps more common *Siipi* (wing)
Siippa	PROPN	overlaps more common *Siippa* (spouse)
Siirappi	PROPN	overlaps more common *Siirappi* (syrup)
Siirto	PROPN	overlaps more common *Siirto* (move)
Siirtola	PROPN	overlaps more common *Siirtola* (FIXME)
Siirtomaa	PROPN	overlaps more common *Siirtomaa* (FIXME)
Siivo	PROPN	overlaps more common *Siivo* (mess)
Siivottu	PROPN	overlaps more common *Siivottu* (cleaned)
Sikala	PROPN	overlaps more common *Sikala* (pig sty)
Sikiö	PROPN	overlaps more common *Sikiö* (foetus)
Silakka	PROPN	overlaps more common *Silakka* (herring)
Sileeni	PROPN	overlaps more common *Sileeni* (silenium)
Sileä	PROPN	overlaps more common *Sileä* (flat)
Sillankorva	PROPN	overlaps more common *Sillankorva* (bridge ear)
Silli	PROPN	overlaps more common *Silli* (herring)
Silmu	PROPN	overlaps more common *Silmu* (flower petal thing)
Silmukka	PROPN	overlaps more common *Silmukka* (noose)
Silmä	PROPN	overlaps more common *Silmä* (eye)
Silmäke	PROPN	overlaps more common *Silmäke* (center)
Silokallio	PROPN	overlaps more common *Silokallio* (flata mountain)
Silta	PROPN	overlaps  very common *silta* (bridge).
Silta	PROPN	overlaps more common *Silta* (bridge)
Simpukka	PROPN	overlaps more common *Simpukka* (clam)
Sinappi	PROPN	overlaps more common *Sinappi* (mustard)
Sinertävä	PROPN	overlaps more common *Sinertävä* (bluish)
Sininen	PROPN	overlaps more common *Sininen* (blue)
Sinisukka	PROPN	overlaps more common *Sinisukka* (blue sock)
Sinivuokko	PROPN	overlaps more common *Sinivuokko* (police, flower)
Sinko	PROPN	overlaps more common *Sinko* (bazooka)
Sipuli	PROPN	overlaps more common *Sipuli* (onion)
Sireeni	PROPN	overlaps more common *Sireeni* (siren)
Sirkkeli	PROPN	overlaps more common *Sirkkeli* (circle saw)
Siro	PROPN	overlaps more common *Siro* (fragile)
Sirpale	PROPN	overlaps more common *Sirpale* (shard)
Sirppi	PROPN	overlaps more common *Sirppi* (crescent)
Siru	PROPN	overlaps more common *Siru* (shard)
Sisko	PROPN	overlaps more common *Sisko* (sister)
Sissi	PROPN	overlaps more common *Sissi* (guerilla)
Sisu	PROPN	overlaps more common *Sisu* (guts)
Sisämaa	PROPN	overlaps more common *Sisämaa* (inlands)
Sisäpohja	PROPN	overlaps more common *Sisäpohja* (inner bottom)
Sitoja	PROPN	overlaps more common *Sitoja* (binder)
Sivakka	PROPN	overlaps more common *Sivakka* (FIXME)
Sivu	PROPN	overlaps more common *Sivu* (side, page)
Sivullinen	PROPN	overlaps more common *Sivullinen* (bystander)
Skaala	PROPN	overlaps more common *Skaala* (scale)
Skandaali	PROPN	overlaps more common *Skandaali* (scandal)
SKDL	PROPN	Suomen Kristillis-Demokraattien Liitto
Skp	PROPN	Suomen keskuspankki
Sohva	PROPN	overlaps more common *Sohva* (sofa)
Soi	PROPN	overlaps forms of very common *soida* (to play).
Soikko	PROPN	overlaps more common *Soikko* (bucket)
Sointu	PROPN	overlaps more common *Sointu* (chord)
Soittaja	PROPN	overlaps more common *Soittaja* (player)
Soiva	PROPN	overlaps more common *Soiva* (playing)
SOK	PROPN	Suomen Osuus-Kauppa
Sokeritoppa	PROPN	overlaps more common *Sokeritoppa* (sugartop)
Sokka	PROPN	overlaps more common *Sokka* (pin)
Sokkelo	PROPN	overlaps more common *Sokkelo* (labyrinth)
Sola	PROPN	overlaps more common *Sola* (valley)
Solakka	PROPN	overlaps more common *Solakka* (thin)
Solki	PROPN	overlaps more common *Solki* (buckle)
Solmio	PROPN	overlaps more common *Solmio* (tie)
Solmu	PROPN	overlaps more common *Solmu* (knot)
Solukko	PROPN	overlaps more common *Solukko* (cells)
Soma	PROPN	overlaps more common *Soma* (pretty)
Somerikko	PROPN	overlaps more common *Somerikko* (FIXME)
Sonni	PROPN	overlaps more common *Sonni* (bull)
Sontiainen	PROPN	overlaps more common *Sontiainen* (cockroach)
Soppa	PROPN	overlaps more common *Soppa* (soup)
Soppi	PROPN	overlaps more common *Soppi* (place)
Sopukka	PROPN	overlaps more common *Sopukka* (cranny)
Sora	PROPN	overlaps more common *Sora* (rubble)
Soraharju	PROPN	overlaps more common *Soraharju* (rubble hill)
Sorainen	PROPN	overlaps more common *Sorainen* (rubbley)
Soratie	PROPN	overlaps more common *Soratie* (rubble road)
Sorja	PROPN	overlaps more common *Sorja* (FIXME)
Sorkka	PROPN	overlaps more common *Sorkka* (hoof)
Sormio	PROPN	overlaps more common *Sormio* (piano)
Sorsa	PROPN	overlaps more common *Sorsa* (duck)
Sorsimo	PROPN	overlaps more common *Sorsimo* (FIXME)
Sorto	PROPN	overlaps more common *Sorto* (oppression)
Sortti	PROPN	overlaps more common *Sortti* (kind of)
Sorvari	PROPN	overlaps more common *Sorvari* (FIXME)
Sotku	PROPN	overlaps more common *Sotku* (mess)
Soukka	PROPN	overlaps more common *Soukka* (FIXME)
Soutaja	PROPN	overlaps more common *Soutaja* (rower)
Sovinto	PROPN	overlaps more common *Sovinto* (agreement)
Spitaali	PROPN	overlaps more common *Spitaali* (leprosy)
SPR	PROPN	Suomen Punainen Risti
SQL	PROPN	Structured Query Language
Stadi	PROPN	overlaps more common *Stadi* (city)
Status	PROPN	overlaps more common *Status* (status)
STT	PROPN	Suomen Tieto-Toimisto
Stydi	PROPN	overlaps more common *Stydi* (strong)
Sudeetti	PROPN	overlaps more common *Sudeetti* (sudet)
Sudenkuoppa	PROPN	overlaps more common *Sudenkuoppa* (foxhole)
Suhina	PROPN	overlaps more common *Suhina* (hiss)
Suikale	PROPN	overlaps more common *Suikale* (splice)
Suikka	PROPN	overlaps more common *Suikka* (hat)
Suikula	PROPN	overlaps more common *Suikula* (oval)
suinkaan	PROPN	usually seen as adverb (at all, negative), but overlaps instructive of the noun *suu* (mouth)
suinkin	PROPN	usually seen as adverb (at all, affirmative), but overlaps instructive of the noun *suu* (mouth)
Suisto	PROPN	overlaps more common *Suisto* (river stream)
Sukkela	PROPN	overlaps more common *Sukkela* (fast)
Sukkula	PROPN	overlaps more common *Sukkula* (rocket)
Suksi	PROPN	overlaps more common *Suksi* (ski)
Suksia	PROPN	overlaps more common *Suksia* (ski)
Sukupolvi	PROPN	overlaps more common *Sukupolvi* (generation)
SUL	PROPN	Suomen Urheilu-Liitto
Sula	PROPN	overlaps more common *Sula* (melt)
Sulake	PROPN	overlaps more common *Sulake* (fuse)
Sulattaja	PROPN	overlaps more common *Sulattaja* (melter)
Sulava	PROPN	overlaps more common *Sulava* (melting)
Sulho	PROPN	overlaps more common *Sulho* (husband)
Sulka	PROPN	overlaps more common *Sulka* (feather)
Sulku	PROPN	overlaps more common *Sulku* (lock)
Sulkusaari	PROPN	overlaps more common *Sulkusaari* (lock island)
Sulttaani	PROPN	overlaps more common *Sulttaani* (sultan)
Summa	PROPN	overlaps more common *Summa* (sum)
Sumppi	PROPN	overlaps more common *Sumppi* (coffee)
Sumppu	PROPN	overlaps more common *Sumppu* (stau)
Sun	PROPN	overlaps more common *Sun* (FIXME)
Suntio	PROPN	overlaps more common *Suntio* (priest)
Suo	PROPN	overlaps  very common *suo* (swamp).
Suo	PROPN	overlaps more common *Suo* (swamp)
Suoja	PROPN	overlaps more common *Suoja* (protection)
Suojametsä	PROPN	overlaps more common *Suojametsä* (forest haven)
Suojeluskunta	PROPN	overlaps more common *Suojeluskunta* (protectorate)
Suojärvi	PROPN	overlaps more common *Suojärvi* (swamp lake)
Suokukko	PROPN	overlaps more common *Suokukko* (swamp cock)
Suolainen	PROPN	overlaps more common *Suolainen* (salty)
Suolajärvi	PROPN	overlaps more common *Suolajärvi* (salt lake)
Suolakivi	PROPN	overlaps more common *Suolakivi* (salt stone)
Suolakko	PROPN	overlaps more common *Suolakko* (salts)
Suolampi	PROPN	overlaps more common *Suolampi* (swamp pond)
Suolaton	PROPN	overlaps more common *Suolaton* (saltless)
Suolisto	PROPN	overlaps more common *Suolisto* (guts)
Suometsä	PROPN	overlaps more common *Suometsä* (swamp forest)
Suomi	PROPN	PROPN_ONNI	Finland, a high frequency proper noun
Suoni	PROPN	overlaps more common *Suoni* (vein)
Suoniitty	PROPN	overlaps more common *Suoniitty* (swamp grass)
Suonsilmä	PROPN	overlaps more common *Suonsilmä* (swamp eye)
Suopelto	PROPN	overlaps more common *Suopelto* (swamp field)
Suopursu	PROPN	overlaps more common *Suopursu* (swamp flower)
Suora	PROPN	overlaps  very common *suora* (straight, a flush e.g. in poker).
Suorakaide	PROPN	overlaps more common *Suorakaide* (rectangle)
Suosaareke	PROPN	overlaps more common *Suosaareke* (swamp island)
Suotta	PROPN	overlaps more common *Suotta* (regardless)
Suova	PROPN	overlaps more common *Suova* (willing)
Suovilla	PROPN	overlaps more common *Suovilla* (swamp cotton)
Supi	PROPN	overlaps more common *Supi* (fox)
Suppilo	PROPN	overlaps more common *Suppilo* (trot)
Surkea	PROPN	overlaps more common *Surkea* (poor)
Surma	PROPN	overlaps more common *Surma* (manslaughter)
Surunauha	PROPN	overlaps more common *Surunauha* (sorrowband)
Suruton	PROPN	overlaps more common *Suruton* (happy)
Susi	PROPN	overlaps more common *Susi* (wolf)
Susitarha	PROPN	overlaps more common *Susitarha* (wolf garden)
Sutia	PROPN	overlaps more common *Sutia* (brush)
Suullinen	PROPN	overlaps more common *Suullinen* (oral)
Suunta	PROPN	overlaps more common *Suunta* (direction)
Suurisilmä	PROPN	overlaps more common *Suurisilmä* (big eye)
Suurmäki	PROPN	overlaps more common *Suurmäki* (big hill)
Suutari	PROPN	overlaps more common *Suutari* (shoe maker)
Suvanto	PROPN	overlaps more common *Suvanto* (FIXME)
Suvi	PROPN	overlaps more common *Suvi* (summer)
Suvinen	PROPN	overlaps more common *Suvinen* (summery)
Suvituuli	PROPN	overlaps more common *Suvituuli* (summerwind)
Sydänkäpy	PROPN	overlaps more common *Sydänkäpy* (beloved)
Sydänmaa	PROPN	overlaps more common *Sydänmaa* (heartland)
Syke	PROPN	overlaps more common *Syke* (pulse)
Syksy	PROPN	overlaps more common *Syksy* (autumn)
Symbioosi	PROPN	overlaps more common *Symbioosi* (symbiosis)
Synapsi	PROPN	overlaps more common *Synapsi* (synapse)
Syrjä	PROPN	overlaps more common *Syrjä* (far)
Syrjäkulma	PROPN	overlaps more common *Syrjäkulma* (far end)
Sysi	PROPN	overlaps more common *Sysi* (pitchblack)
Systeemi	PROPN	overlaps more common *Systeemi* (system)
Sytyke	PROPN	overlaps more common *Sytyke* (kindle)
Syvä	PROPN	overlaps more common *Syvä* (deep)
syvällä	PROPN	usually seen as adverb (deep), but can be analysed as possessive elative of the adjective *syvä* (deep)
Syvänne	PROPN	overlaps more common *Syvänne* (depth)
Säde	PROPN	overlaps more common *Säde* (ray)
Säilä	PROPN	overlaps more common *Säilä* (sword)
Säilö	PROPN	overlaps more common *Säilö* (locker)
Säkki	PROPN	overlaps more common *Säkki* (bag)
Säleikkö	PROPN	overlaps more common *Säleikkö* (grid)
Sänki	PROPN	overlaps more common *Sänki* (stubble)
Säppi	PROPN	overlaps more common *Säppi* (lock)
Särki	PROPN	overlaps more common *Särki* (fish)
Särkkä	PROPN	overlaps more common *Särkkä* (rock)
Särö	PROPN	overlaps more common *Särö* (crack)
Sätky	PROPN	overlaps more common *Sätky* (shock)
Sävel	PROPN	overlaps more common *Sävel* (chord)
Sääksi	PROPN	overlaps more common *Sääksi* (mosquito)
Sääri	PROPN	overlaps more common *Sääri* (leg)
Sääski	PROPN	overlaps more common *Sääski* (mosquito)
Säästö	PROPN	overlaps more common *Säästö* (saving)
Säästöpankki	PROPN	overlaps more common *Säästöpankki* (savings bank)
Säästöpankkiryhmä	PROPN	overlaps more common *Säästöpankkiryhmä* (savings bank group)
Taatto	PROPN	overlaps more common *Taatto* (grandpa)
Tahi	PROPN	overlaps more common *Tahi* (or)
Tahko	PROPN	overlaps more common *Tahko* (FIXME)
Tahkokivi	PROPN	overlaps more common *Tahkokivi* (FIXME)
Taika	PROPN	overlaps more common *Taika* (spell)
Taikina	PROPN	overlaps more common *Taikina* (dough)
Taikinainen	PROPN	overlaps more common *Taikinainen* (doughy)
Taimi	PROPN	overlaps more common *Taimi* (seedling)
Taimikko	PROPN	overlaps more common *Taimikko* (seedlings)
Taimisto	PROPN	overlaps more common *Taimisto* (seedlings)
Taimitarha	PROPN	overlaps more common *Taimitarha* (seedling garden)
Taipua	PROPN	overlaps more common *Taipua* (bend)
Taito	PROPN	overlaps more common *Taito* (skill)
Taivaannapa	PROPN	overlaps more common *Taivaannapa* (sky pole)
Taivaanranta	PROPN	overlaps more common *Taivaanranta* (sky beach, horizon)
Taivaanvuohi	PROPN	overlaps more common *Taivaanvuohi* (sky goat)
Taival	PROPN	overlaps more common *Taival* (way)
Taivas	PROPN	overlaps more common *Taivas* (sky)
Taive	PROPN	overlaps more common *Taive* (bent)
Taka	PROPN	overlaps more common *Taka* (back)
Takalisto	PROPN	overlaps more common *Takalisto* (ass)
Takamaa	PROPN	overlaps more common *Takamaa* (backland)
Takametsä	PROPN	overlaps more common *Takametsä* (back forest)
Takaniitty	PROPN	overlaps more common *Takaniitty* (back greens)
Takapesä	PROPN	overlaps more common *Takapesä* (back nest)
Takapiha	PROPN	overlaps more common *Takapiha* (backyard)
Takapää	PROPN	overlaps more common *Takapää* (backhead, ass)
Takarivi	PROPN	overlaps more common *Takarivi* (backrow)
Takatie	PROPN	overlaps more common *Takatie* (backroad)
Takkakivi	PROPN	overlaps more common *Takkakivi* (fireplacestone)
Takki	PROPN	overlaps more common *Takki* (coat)
Takku	PROPN	overlaps more common *Takku* (knot)
Takoja	PROPN	overlaps more common *Takoja* (FIXME)
Tali	PROPN	overlaps more common *Tali* (FIXME)
Talja	PROPN	overlaps more common *Talja* (FIXME)
Talkkari	PROPN	overlaps more common *Talkkari* (super)
Talkkuna	PROPN	overlaps more common *Talkkuna* (alun)
Talli	PROPN	overlaps more common *Talli* (stables)
Talo	PROPN	overlaps more common *Talo* (house)
Talonpaikka	PROPN	overlaps more common *Talonpaikka* (houseplace)
Talonpoika	PROPN	overlaps more common *Talonpoika* (farmhand)
Talouselämä	PROPN	overlaps more common *Talouselämä* (financial life)
Taloustutkimus	PROPN	overlaps more common *Taloustutkimus* (financial research)
Taltta	PROPN	overlaps more common *Taltta* (chisel)
Talvenselkä	PROPN	overlaps more common *Talvenselkä* (winterback)
Talvi	PROPN	overlaps more common *Talvi* (winter)
Talvilampare	PROPN	overlaps more common *Talvilampare* (winterhill)
Talvitie	PROPN	overlaps more common *Talvitie* (winterroad)
Tammi	PROPN	overlaps more common *Tammi* (oak)
Tammilehto	PROPN	overlaps more common *Tammilehto* (oak grove)
Tammimetsä	PROPN	overlaps more common *Tammimetsä* (oak forest)
Tamminen	PROPN	overlaps more common *Tamminen* (oaky)
Tammisto	PROPN	overlaps more common *Tammisto* (oak forest)
Tanhua	PROPN	overlaps more common *Tanhua* (FIXME)
Tanner	PROPN	overlaps more common *Tanner* (ground)
Tantere	PROPN	overlaps more common *Tantere* (ground)
Tapa	PROPN	overlaps more common *Tapa* (habit)
Tappara	PROPN	overlaps more common *Tappara* (ax)
Tappi	PROPN	overlaps more common *Tappi* (plug)
Tappo	PROPN	overlaps more common *Tappo* (kill)
Tappura	PROPN	overlaps more common *Tappura* (FIXME)
